Origen,Destino,Peso
Nodo_28,Nodo_22,416
Nodo_17,Nodo_22,763
Nodo_39,Nodo_4,12
Nodo_46,Nodo_21,199
Nodo_32,Nodo_33,356
Nodo_6,Nodo_47,849
Nodo_23,Nodo_42,656
Nodo_1,Nodo_15,956
Nodo_37,Nodo_45,462
Nodo_3,Nodo_12,568
Nodo_43,Nodo_44,7
Nodo_17,Nodo_40,624
Nodo_32,Nodo_18,701
Nodo_46,Nodo_37,558
Nodo_48,Nodo_22,557
Nodo_45,Nodo_21,854
Nodo_30,Nodo_38,143
Nodo_33,Nodo_18,657
Nodo_30,Nodo_40,516
Nodo_12,Nodo_43,408
Nodo_23,Nodo_47,436
Nodo_13,Nodo_20,686
Nodo_8,Nodo_37,743
Nodo_46,Nodo_38,38
Nodo_46,Nodo_1,880
Nodo_11,Nodo_26,631
Nodo_40,Nodo_3,85
Nodo_39,Nodo_42,550
Nodo_1,Nodo_40,361
Nodo_49,Nodo_27,519
Nodo_50,Nodo_48,67
Nodo_30,Nodo_39,403
Nodo_12,Nodo_30,85
Nodo_36,Nodo_45,251
Nodo_49,Nodo_19,335
Nodo_17,Nodo_32,684
Nodo_27,Nodo_24,708
Nodo_44,Nodo_6,458
Nodo_20,Nodo_32,862
Nodo_31,Nodo_14,681
Nodo_18,Nodo_48,721
Nodo_38,Nodo_29,9
Nodo_45,Nodo_19,15
Nodo_48,Nodo_47,484
Nodo_26,Nodo_20,905
Nodo_45,Nodo_28,591
Nodo_37,Nodo_31,195
Nodo_3,Nodo_47,210
Nodo_14,Nodo_44,768
Nodo_14,Nodo_16,267
Nodo_26,Nodo_50,378
Nodo_48,Nodo_24,579
Nodo_18,Nodo_17,697
Nodo_22,Nodo_32,893
Nodo_50,Nodo_45,125
Nodo_46,Nodo_29,948
Nodo_6,Nodo_29,486
Nodo_17,Nodo_49,151
Nodo_20,Nodo_38,541
Nodo_33,Nodo_26,353
Nodo_50,Nodo_44,464
Nodo_25,Nodo_43,741
Nodo_13,Nodo_19,534
Nodo_7,Nodo_15,57
Nodo_24,Nodo_30,875
Nodo_39,Nodo_44,716
Nodo_28,Nodo_46,52
Nodo_18,Nodo_12,773
Nodo_9,Nodo_44,295
Nodo_45,Nodo_38,147
Nodo_46,Nodo_36,309
Nodo_47,Nodo_24,386
Nodo_30,Nodo_43,684
Nodo_48,Nodo_45,74
Nodo_46,Nodo_19,149
Nodo_34,Nodo_16,540
Nodo_8,Nodo_43,263
Nodo_4,Nodo_11,580
Nodo_9,Nodo_29,595
Nodo_26,Nodo_38,255
Nodo_34,Nodo_21,858
Nodo_3,Nodo_12,52
Nodo_5,Nodo_18,606
Nodo_15,Nodo_36,113
Nodo_35,Nodo_15,580
Nodo_8,Nodo_26,728
Nodo_16,Nodo_41,316
Nodo_35,Nodo_38,80
Nodo_15,Nodo_42,917
Nodo_45,Nodo_35,626
Nodo_34,Nodo_5,189
Nodo_19,Nodo_31,285
Nodo_44,Nodo_45,68
Nodo_1,Nodo_37,538
Nodo_37,Nodo_27,940
Nodo_2,Nodo_25,947
Nodo_43,Nodo_40,252
Nodo_30,Nodo_8,918
Nodo_2,Nodo_10,366
Nodo_14,Nodo_46,798
Nodo_28,Nodo_13,424
Nodo_50,Nodo_18,524
Nodo_10,Nodo_38,485
Nodo_8,Nodo_16,589
Nodo_23,Nodo_44,384
Nodo_39,Nodo_23,13
Nodo_24,Nodo_8,828
Nodo_50,Nodo_26,461
Nodo_37,Nodo_13,571
Nodo_6,Nodo_44,914
Nodo_36,Nodo_21,557
Nodo_49,Nodo_50,211
Nodo_31,Nodo_46,329
Nodo_42,Nodo_27,123
Nodo_4,Nodo_48,505
Nodo_29,Nodo_35,411
Nodo_29,Nodo_8,841
Nodo_31,Nodo_50,583
Nodo_25,Nodo_31,286
Nodo_14,Nodo_46,183
Nodo_9,Nodo_15,723
Nodo_12,Nodo_33,140
Nodo_22,Nodo_1,756
Nodo_24,Nodo_9,256
Nodo_13,Nodo_40,255
Nodo_38,Nodo_34,775
Nodo_50,Nodo_34,297
Nodo_32,Nodo_8,981
Nodo_9,Nodo_12,585
Nodo_19,Nodo_45,79
Nodo_43,Nodo_34,287
Nodo_29,Nodo_27,823
Nodo_21,Nodo_31,677
Nodo_39,Nodo_7,947
Nodo_33,Nodo_37,372
Nodo_50,Nodo_19,219
Nodo_18,Nodo_23,797
Nodo_1,Nodo_32,730
Nodo_10,Nodo_44,110
Nodo_36,Nodo_30,926
Nodo_38,Nodo_32,678
Nodo_38,Nodo_31,565
Nodo_4,Nodo_5,925
Nodo_42,Nodo_14,439
Nodo_10,Nodo_41,784
Nodo_32,Nodo_25,283
Nodo_15,Nodo_31,865
Nodo_9,Nodo_37,249
Nodo_10,Nodo_17,81
Nodo_24,Nodo_44,164
Nodo_24,Nodo_40,211
Nodo_16,Nodo_46,781
Nodo_10,Nodo_6,220
Nodo_45,Nodo_25,501
Nodo_25,Nodo_21,606
Nodo_34,Nodo_25,195
Nodo_7,Nodo_11,578
Nodo_9,Nodo_24,674
Nodo_23,Nodo_29,759
Nodo_48,Nodo_15,986
Nodo_36,Nodo_38,853
Nodo_14,Nodo_17,224
Nodo_6,Nodo_26,337
Nodo_8,Nodo_46,139
Nodo_7,Nodo_11,532
Nodo_19,Nodo_26,801
Nodo_2,Nodo_46,968
Nodo_3,Nodo_37,337
Nodo_1,Nodo_46,513
Nodo_13,Nodo_17,944
Nodo_32,Nodo_17,408
Nodo_39,Nodo_11,997
Nodo_14,Nodo_17,72
Nodo_45,Nodo_32,831
Nodo_26,Nodo_43,72
Nodo_28,Nodo_18,687
Nodo_5,Nodo_26,416
Nodo_15,Nodo_7,900
Nodo_9,Nodo_28,713
Nodo_44,Nodo_25,246
Nodo_9,Nodo_43,531
Nodo_15,Nodo_6,359
Nodo_5,Nodo_45,56
Nodo_13,Nodo_48,44
Nodo_34,Nodo_38,630
Nodo_37,Nodo_50,142
Nodo_30,Nodo_14,849
Nodo_11,Nodo_47,655
Nodo_39,Nodo_12,234
Nodo_15,Nodo_8,520
Nodo_23,Nodo_6,539
Nodo_43,Nodo_45,942
Nodo_11,Nodo_40,568
Nodo_36,Nodo_23,330
Nodo_23,Nodo_44,217
Nodo_43,Nodo_49,80
Nodo_34,Nodo_50,852
Nodo_29,Nodo_30,482
Nodo_15,Nodo_39,319
Nodo_29,Nodo_45,244
Nodo_35,Nodo_44,124
Nodo_26,Nodo_6,499
Nodo_41,Nodo_23,304
Nodo_49,Nodo_22,255
Nodo_27,Nodo_35,914
Nodo_7,Nodo_35,233
Nodo_49,Nodo_34,759
Nodo_38,Nodo_47,152
Nodo_7,Nodo_50,704
Nodo_31,Nodo_18,666
Nodo_1,Nodo_28,629
Nodo_33,Nodo_18,794
Nodo_19,Nodo_23,712
Nodo_38,Nodo_9,131
Nodo_9,Nodo_17,130
Nodo_20,Nodo_42,612
Nodo_7,Nodo_30,187
Nodo_21,Nodo_43,780
Nodo_13,Nodo_35,608
Nodo_20,Nodo_15,804
Nodo_15,Nodo_32,395
Nodo_41,Nodo_4,915
Nodo_22,Nodo_32,999
Nodo_39,Nodo_17,76
Nodo_40,Nodo_44,841
Nodo_45,Nodo_36,787
Nodo_44,Nodo_45,179
Nodo_10,Nodo_30,234
Nodo_14,Nodo_22,630
Nodo_16,Nodo_38,79
Nodo_37,Nodo_2,886
Nodo_47,Nodo_49,255
Nodo_49,Nodo_47,343
Nodo_37,Nodo_1,612
Nodo_21,Nodo_40,421
Nodo_29,Nodo_47,414
Nodo_7,Nodo_22,634
Nodo_36,Nodo_38,618
Nodo_26,Nodo_40,42
Nodo_17,Nodo_29,385
Nodo_20,Nodo_33,470
Nodo_13,Nodo_31,971
Nodo_21,Nodo_17,747
Nodo_26,Nodo_30,718
Nodo_36,Nodo_17,579
Nodo_14,Nodo_6,341
Nodo_12,Nodo_24,429
Nodo_5,Nodo_2,114
Nodo_3,Nodo_28,935
Nodo_32,Nodo_38,328
Nodo_42,Nodo_37,143
Nodo_29,Nodo_41,1000
Nodo_14,Nodo_8,370
Nodo_7,Nodo_20,328
Nodo_15,Nodo_4,230
Nodo_23,Nodo_44,232
Nodo_29,Nodo_49,532
Nodo_50,Nodo_24,945
Nodo_20,Nodo_2,526
Nodo_19,Nodo_20,251
Nodo_8,Nodo_10,704
Nodo_1,Nodo_33,888
Nodo_34,Nodo_28,839
Nodo_33,Nodo_10,499
Nodo_19,Nodo_18,64
Nodo_25,Nodo_39,951
Nodo_7,Nodo_33,1000
Nodo_8,Nodo_47,11
Nodo_44,Nodo_23,978
Nodo_41,Nodo_42,329
Nodo_50,Nodo_21,877
Nodo_50,Nodo_24,593
Nodo_38,Nodo_40,379
Nodo_38,Nodo_16,607
Nodo_38,Nodo_7,404
Nodo_47,Nodo_39,436
Nodo_43,Nodo_50,80
Nodo_23,Nodo_48,586
Nodo_42,Nodo_26,101
Nodo_25,Nodo_2,505
Nodo_15,Nodo_6,494
Nodo_28,Nodo_10,566
Nodo_48,Nodo_40,508
Nodo_36,Nodo_45,301
Nodo_12,Nodo_1,413
Nodo_32,Nodo_41,709
Nodo_30,Nodo_8,84
Nodo_21,Nodo_27,813
Nodo_31,Nodo_1,75
Nodo_26,Nodo_24,90
Nodo_47,Nodo_26,653
Nodo_50,Nodo_48,71
Nodo_47,Nodo_50,632
Nodo_41,Nodo_23,149
Nodo_32,Nodo_39,688
Nodo_27,Nodo_38,431
Nodo_39,Nodo_27,58
Nodo_24,Nodo_10,345
Nodo_37,Nodo_38,276
Nodo_9,Nodo_42,424
Nodo_45,Nodo_24,986
Nodo_9,Nodo_14,825
Nodo_49,Nodo_39,614
Nodo_33,Nodo_44,100
Nodo_21,Nodo_43,578
Nodo_11,Nodo_25,692
Nodo_18,Nodo_39,194
Nodo_29,Nodo_24,790
Nodo_11,Nodo_5,541
Nodo_33,Nodo_43,821
Nodo_4,Nodo_36,149
Nodo_16,Nodo_34,927
Nodo_46,Nodo_27,599
Nodo_22,Nodo_19,77
Nodo_9,Nodo_16,247
Nodo_41,Nodo_35,201
Nodo_29,Nodo_27,336
Nodo_14,Nodo_36,46
Nodo_7,Nodo_16,643
Nodo_34,Nodo_44,801
Nodo_49,Nodo_16,801
Nodo_27,Nodo_41,685
Nodo_42,Nodo_15,979
Nodo_47,Nodo_15,987
Nodo_38,Nodo_50,600
Nodo_32,Nodo_41,88
Nodo_32,Nodo_40,713
Nodo_36,Nodo_20,668
Nodo_16,Nodo_10,839
Nodo_33,Nodo_49,639
Nodo_23,Nodo_42,317
Nodo_32,Nodo_27,797
Nodo_7,Nodo_5,300
Nodo_39,Nodo_25,415
Nodo_33,Nodo_39,168
Nodo_26,Nodo_33,520
Nodo_19,Nodo_31,589
Nodo_35,Nodo_24,223
Nodo_43,Nodo_44,395
Nodo_20,Nodo_29,442
Nodo_32,Nodo_33,888
Nodo_20,Nodo_40,880
Nodo_27,Nodo_29,190
Nodo_26,Nodo_35,84
Nodo_16,Nodo_25,163
Nodo_15,Nodo_34,170
Nodo_36,Nodo_39,548
Nodo_21,Nodo_44,261
Nodo_11,Nodo_26,383
Nodo_19,Nodo_10,969
Nodo_47,Nodo_33,409
Nodo_27,Nodo_50,963
Nodo_5,Nodo_38,150
Nodo_46,Nodo_2,261
Nodo_26,Nodo_48,71
Nodo_50,Nodo_39,964
Nodo_37,Nodo_16,715
Nodo_24,Nodo_11,968
Nodo_1,Nodo_7,304
Nodo_8,Nodo_24,375
Nodo_45,Nodo_33,292
Nodo_44,Nodo_17,463
Nodo_31,Nodo_40,462
Nodo_10,Nodo_23,660
Nodo_34,Nodo_7,505
Nodo_9,Nodo_1,278
Nodo_18,Nodo_16,417
Nodo_11,Nodo_15,415
Nodo_38,Nodo_48,619
Nodo_45,Nodo_34,859
Nodo_32,Nodo_35,926
Nodo_36,Nodo_8,265
Nodo_8,Nodo_6,208
Nodo_40,Nodo_41,340
Nodo_38,Nodo_32,645
Nodo_44,Nodo_18,728
Nodo_48,Nodo_42,513
Nodo_21,Nodo_1,577
Nodo_18,Nodo_6,341
Nodo_36,Nodo_42,595
Nodo_36,Nodo_1,984
Nodo_47,Nodo_20,128
Nodo_45,Nodo_28,634
Nodo_29,Nodo_16,968
Nodo_39,Nodo_6,265
Nodo_11,Nodo_6,55
Nodo_14,Nodo_16,505
Nodo_28,Nodo_12,343
Nodo_9,Nodo_32,359
Nodo_31,Nodo_3,602
Nodo_29,Nodo_30,426
Nodo_4,Nodo_2,369
Nodo_50,Nodo_11,127
Nodo_31,Nodo_44,966
Nodo_37,Nodo_7,356
Nodo_45,Nodo_38,963
Nodo_26,Nodo_4,673
Nodo_19,Nodo_9,756
Nodo_38,Nodo_6,718
Nodo_29,Nodo_7,539
Nodo_18,Nodo_28,181
Nodo_7,Nodo_48,488
Nodo_17,Nodo_31,402
Nodo_10,Nodo_20,827
Nodo_38,Nodo_36,287
Nodo_45,Nodo_41,611
Nodo_35,Nodo_12,746
Nodo_40,Nodo_27,81
Nodo_39,Nodo_17,905
Nodo_50,Nodo_10,42
Nodo_33,Nodo_18,18
Nodo_7,Nodo_11,705
Nodo_1,Nodo_26,391
Nodo_34,Nodo_11,417
Nodo_23,Nodo_34,262
Nodo_3,Nodo_17,218
Nodo_43,Nodo_20,365
Nodo_23,Nodo_41,303
Nodo_35,Nodo_34,650
Nodo_12,Nodo_13,305
Nodo_50,Nodo_33,193
Nodo_48,Nodo_45,858
Nodo_29,Nodo_6,282
Nodo_35,Nodo_15,465
Nodo_11,Nodo_47,591
Nodo_16,Nodo_9,343
Nodo_4,Nodo_8,100
Nodo_14,Nodo_36,277
Nodo_43,Nodo_29,592
Nodo_36,Nodo_9,716
Nodo_23,Nodo_10,794
Nodo_46,Nodo_37,921
Nodo_27,Nodo_14,435
Nodo_32,Nodo_4,683
Nodo_34,Nodo_23,517
Nodo_35,Nodo_30,299
Nodo_48,Nodo_26,928
Nodo_35,Nodo_4,126
Nodo_4,Nodo_17,620
Nodo_15,Nodo_12,635
Nodo_1,Nodo_4,635
Nodo_42,Nodo_31,502
Nodo_14,Nodo_36,395
Nodo_7,Nodo_23,927
Nodo_48,Nodo_27,382
Nodo_5,Nodo_26,850
Nodo_1,Nodo_43,647
Nodo_50,Nodo_21,692
Nodo_36,Nodo_42,82
Nodo_5,Nodo_6,950
Nodo_36,Nodo_2,189
Nodo_2,Nodo_49,254
Nodo_42,Nodo_49,252
Nodo_17,Nodo_37,197
Nodo_41,Nodo_5,678
Nodo_7,Nodo_20,685
Nodo_7,Nodo_42,715
Nodo_36,Nodo_2,781
Nodo_4,Nodo_48,848
Nodo_35,Nodo_20,394
Nodo_27,Nodo_25,724
Nodo_20,Nodo_45,364
Nodo_18,Nodo_15,476
Nodo_25,Nodo_21,478
Nodo_28,Nodo_50,648
Nodo_2,Nodo_25,847
Nodo_5,Nodo_29,512
Nodo_6,Nodo_16,371
Nodo_34,Nodo_24,393
Nodo_36,Nodo_2,861
Nodo_25,Nodo_4,757
Nodo_12,Nodo_34,299
Nodo_24,Nodo_48,887
Nodo_17,Nodo_15,532
Nodo_43,Nodo_7,809
Nodo_47,Nodo_35,412
Nodo_5,Nodo_19,764
Nodo_11,Nodo_44,833
Nodo_26,Nodo_34,226
Nodo_18,Nodo_49,859
Nodo_5,Nodo_13,571
Nodo_33,Nodo_14,160
Nodo_30,Nodo_4,923
Nodo_17,Nodo_39,937
Nodo_20,Nodo_5,693
Nodo_41,Nodo_1,665
Nodo_47,Nodo_13,127
Nodo_24,Nodo_16,445
Nodo_16,Nodo_40,898
Nodo_23,Nodo_8,219
Nodo_8,Nodo_29,922
Nodo_39,Nodo_35,154
Nodo_48,Nodo_12,706
Nodo_27,Nodo_49,980
Nodo_32,Nodo_35,67
Nodo_44,Nodo_43,429
Nodo_25,Nodo_34,235
Nodo_46,Nodo_47,381
Nodo_17,Nodo_4,388
Nodo_3,Nodo_14,717
Nodo_50,Nodo_21,241
Nodo_35,Nodo_28,500
Nodo_46,Nodo_37,681
Nodo_27,Nodo_23,714
Nodo_33,Nodo_20,565
Nodo_21,Nodo_38,191
Nodo_24,Nodo_33,7
Nodo_39,Nodo_50,200
Nodo_6,Nodo_8,83
Nodo_42,Nodo_33,759
Nodo_10,Nodo_23,892
Nodo_26,Nodo_8,86
Nodo_30,Nodo_11,149
Nodo_3,Nodo_27,355
Nodo_6,Nodo_35,497
Nodo_13,Nodo_1,190
Nodo_10,Nodo_37,822
Nodo_29,Nodo_28,224
Nodo_40,Nodo_45,670
Nodo_29,Nodo_21,459
Nodo_39,Nodo_36,838
Nodo_33,Nodo_9,259
Nodo_49,Nodo_26,672
Nodo_43,Nodo_9,199
Nodo_6,Nodo_41,575
Nodo_7,Nodo_16,541
Nodo_8,Nodo_11,215
Nodo_26,Nodo_42,278
Nodo_45,Nodo_23,431
Nodo_34,Nodo_29,965
Nodo_47,Nodo_8,27
Nodo_17,Nodo_19,281
Nodo_28,Nodo_5,473
Nodo_42,Nodo_22,334
Nodo_7,Nodo_13,987
Nodo_15,Nodo_12,25
Nodo_43,Nodo_38,677
Nodo_16,Nodo_18,885
Nodo_15,Nodo_27,559
Nodo_46,Nodo_35,752
Nodo_23,Nodo_45,700
Nodo_50,Nodo_36,160
Nodo_10,Nodo_11,741
Nodo_30,Nodo_34,898
Nodo_4,Nodo_31,224
Nodo_43,Nodo_23,246
Nodo_1,Nodo_40,541
Nodo_43,Nodo_26,772
Nodo_49,Nodo_17,717
Nodo_37,Nodo_34,862
Nodo_12,Nodo_29,173
Nodo_46,Nodo_49,239
Nodo_10,Nodo_24,968
Nodo_33,Nodo_39,501
Nodo_35,Nodo_10,249
Nodo_27,Nodo_46,485
Nodo_28,Nodo_48,921
Nodo_6,Nodo_25,936
Nodo_5,Nodo_44,161
Nodo_12,Nodo_4,906
Nodo_20,Nodo_33,231
Nodo_26,Nodo_25,885
Nodo_41,Nodo_15,154
Nodo_39,Nodo_47,506
Nodo_48,Nodo_35,863
Nodo_43,Nodo_9,515
Nodo_5,Nodo_4,229
Nodo_12,Nodo_32,285
Nodo_27,Nodo_42,520
Nodo_38,Nodo_3,514
Nodo_38,Nodo_5,559
Nodo_5,Nodo_44,822
Nodo_29,Nodo_37,772
Nodo_32,Nodo_46,945
Nodo_2,Nodo_21,995
Nodo_16,Nodo_50,856
Nodo_45,Nodo_19,795
Nodo_49,Nodo_43,505
Nodo_30,Nodo_13,125
Nodo_42,Nodo_21,420
Nodo_15,Nodo_5,453
Nodo_46,Nodo_50,930
Nodo_19,Nodo_4,130
Nodo_34,Nodo_20,790
Nodo_14,Nodo_31,69
Nodo_20,Nodo_34,541
Nodo_1,Nodo_15,711
Nodo_38,Nodo_26,812
Nodo_39,Nodo_34,245
Nodo_4,Nodo_29,191
Nodo_36,Nodo_38,4
Nodo_26,Nodo_27,210
Nodo_14,Nodo_17,982
Nodo_33,Nodo_41,681
Nodo_31,Nodo_45,137
Nodo_1,Nodo_20,800
Nodo_44,Nodo_19,196
Nodo_18,Nodo_47,620
Nodo_39,Nodo_1,220
Nodo_13,Nodo_9,177
Nodo_19,Nodo_47,338
Nodo_10,Nodo_37,116
Nodo_39,Nodo_28,192
Nodo_15,Nodo_26,425
Nodo_5,Nodo_9,724
Nodo_3,Nodo_16,569
Nodo_26,Nodo_6,276
Nodo_24,Nodo_46,768
Nodo_23,Nodo_47,870
Nodo_21,Nodo_36,854
Nodo_23,Nodo_27,679
Nodo_6,Nodo_22,696
Nodo_3,Nodo_30,2
Nodo_26,Nodo_8,877
Nodo_8,Nodo_26,544
Nodo_24,Nodo_36,41
Nodo_15,Nodo_17,289
Nodo_33,Nodo_27,46
Nodo_1,Nodo_47,207
Nodo_46,Nodo_45,638
Nodo_39,Nodo_50,926
Nodo_37,Nodo_46,644
Nodo_46,Nodo_6,557
Nodo_5,Nodo_1,700
Nodo_34,Nodo_45,199
Nodo_37,Nodo_27,725
Nodo_11,Nodo_23,775
Nodo_31,Nodo_34,880
Nodo_9,Nodo_40,802
Nodo_31,Nodo_22,298
Nodo_15,Nodo_24,928
Nodo_1,Nodo_35,788
Nodo_17,Nodo_38,960
Nodo_46,Nodo_2,336
Nodo_14,Nodo_46,138
Nodo_33,Nodo_25,902
Nodo_3,Nodo_1,241
Nodo_48,Nodo_2,413
Nodo_3,Nodo_9,190
Nodo_21,Nodo_16,397
Nodo_35,Nodo_37,655
Nodo_39,Nodo_26,778
Nodo_25,Nodo_32,685
Nodo_21,Nodo_20,792
Nodo_3,Nodo_10,292
Nodo_14,Nodo_12,166
Nodo_28,Nodo_11,467
Nodo_16,Nodo_45,975
Nodo_15,Nodo_27,96
Nodo_30,Nodo_5,673
Nodo_26,Nodo_11,62
Nodo_15,Nodo_9,782
Nodo_24,Nodo_27,729
Nodo_19,Nodo_11,725
Nodo_34,Nodo_28,998
Nodo_49,Nodo_11,363
Nodo_12,Nodo_49,617
Nodo_3,Nodo_39,373
Nodo_1,Nodo_21,711
Nodo_11,Nodo_45,304
Nodo_34,Nodo_50,743
Nodo_24,Nodo_39,179
Nodo_14,Nodo_2,959
Nodo_33,Nodo_50,506
Nodo_34,Nodo_10,777
Nodo_7,Nodo_45,590
Nodo_38,Nodo_7,616
Nodo_16,Nodo_34,264
Nodo_39,Nodo_47,221
Nodo_16,Nodo_31,645
Nodo_19,Nodo_30,385
Nodo_3,Nodo_34,144
Nodo_41,Nodo_40,196
Nodo_37,Nodo_35,943
Nodo_8,Nodo_17,136
Nodo_33,Nodo_30,711
Nodo_38,Nodo_33,864
Nodo_33,Nodo_21,395
Nodo_36,Nodo_31,189
Nodo_16,Nodo_36,638
Nodo_38,Nodo_3,564
Nodo_32,Nodo_29,319
Nodo_11,Nodo_18,594
Nodo_20,Nodo_1,264
Nodo_28,Nodo_43,916
Nodo_16,Nodo_1,610
Nodo_12,Nodo_47,449
Nodo_17,Nodo_12,317
Nodo_48,Nodo_8,49
Nodo_29,Nodo_38,401
Nodo_16,Nodo_37,959
Nodo_38,Nodo_18,121
Nodo_9,Nodo_16,618
Nodo_49,Nodo_41,782
Nodo_9,Nodo_17,383
Nodo_13,Nodo_11,599
Nodo_9,Nodo_3,748
Nodo_14,Nodo_42,304
Nodo_31,Nodo_24,711
Nodo_50,Nodo_15,933
Nodo_8,Nodo_49,150
Nodo_7,Nodo_13,956
Nodo_38,Nodo_49,134
Nodo_21,Nodo_4,612
Nodo_16,Nodo_45,599
Nodo_21,Nodo_20,462
Nodo_35,Nodo_4,174
Nodo_1,Nodo_42,890
Nodo_9,Nodo_46,622
Nodo_5,Nodo_45,507
Nodo_45,Nodo_14,971
Nodo_8,Nodo_17,588
Nodo_36,Nodo_9,325
Nodo_17,Nodo_9,792
Nodo_28,Nodo_3,737
Nodo_17,Nodo_33,885
Nodo_3,Nodo_5,283
Nodo_31,Nodo_47,908
Nodo_28,Nodo_20,162
Nodo_4,Nodo_36,214
Nodo_22,Nodo_16,611
Nodo_18,Nodo_36,957
Nodo_27,Nodo_18,490
Nodo_24,Nodo_34,269
Nodo_23,Nodo_21,735
Nodo_43,Nodo_20,65
Nodo_19,Nodo_25,502
Nodo_21,Nodo_43,694
Nodo_34,Nodo_14,765
Nodo_35,Nodo_19,503
Nodo_45,Nodo_15,582
Nodo_14,Nodo_36,590
Nodo_7,Nodo_42,746
Nodo_7,Nodo_38,760
Nodo_45,Nodo_40,883
Nodo_42,Nodo_38,712
Nodo_23,Nodo_47,874
Nodo_18,Nodo_24,745
Nodo_48,Nodo_46,669
Nodo_33,Nodo_9,560
Nodo_25,Nodo_38,85
Nodo_31,Nodo_19,859
Nodo_13,Nodo_2,318
Nodo_29,Nodo_9,402
Nodo_11,Nodo_37,461
Nodo_23,Nodo_18,719
Nodo_22,Nodo_49,929
Nodo_3,Nodo_36,245
Nodo_38,Nodo_39,241
Nodo_9,Nodo_42,896
Nodo_12,Nodo_36,90
Nodo_42,Nodo_36,923
Nodo_26,Nodo_5,307
Nodo_43,Nodo_4,799
Nodo_39,Nodo_9,662
Nodo_30,Nodo_29,36
Nodo_20,Nodo_32,381
Nodo_13,Nodo_6,328
Nodo_25,Nodo_9,192
Nodo_34,Nodo_10,875
Nodo_10,Nodo_17,745
Nodo_22,Nodo_20,850
Nodo_46,Nodo_21,657
Nodo_47,Nodo_22,775
Nodo_32,Nodo_14,267
Nodo_1,Nodo_38,807
Nodo_16,Nodo_33,439
Nodo_24,Nodo_33,174
